EXER;IDENT;NDEPT;LBUDG;INSEE;CBUDG;CTYPE;CSTYP;NOMEN;siren;CREGI;CACTI;SECTEUR;FINESS;CODBUD1;CATEG;BAL;COMPTE;BEDEB;BECRE;OBNETDEB;OBNETCRE;ONBDEB;ONBCRE;OOBDEB;OOBCRE;SD;SC
2020;21950447900011;095;NEUILLY-EN-VEXIN;447;1;101;00;M14A;219504479;011;40;;;;Commune;DEF;4728;0.0;0.0;0.0;0.0;1106.08;1106.08;0.0;0.0;0.0;0.0
2020;21950447900011;095;NEUILLY-EN-VEXIN;447;1;101;00;M14A;219504479;011;40;;;;Commune;DEF;6064;0.0;0.0;732.29;0.0;0.0;0.0;0.0;0.0;732.29;0.0
2020;21950447900011;095;NEUILLY-EN-VEXIN;447;1;101;00;M14A;219504479;011;40;;;;Commune;DEF;626;0.0;0.0;1721.95;0.0;0.0;0.0;0.0;0.0;1721.95;0.0
2020;21950447900011;095;NEUILLY-EN-VEXIN;447;1;101;00;M14A;219504479;011;40;;;;Commune;DEF;658822;0.0;0.0;300.0;0.0;0.0;0.0;0.0;0.0;300.0;0.0
2020;21950447900011;095;NEUILLY-EN-VEXIN;447;1;101;00;M14A;219504479;011;40;;;;Commune;DEF;70311;0.0;0.0;0.0;900.0;0.0;0.0;0.0;0.0;0.0;900.0
2020;21950450300018;095;NEUVILLE-SUR-OISE;450;1;101;00;M14;219504503;011;40;;;;Commune;DEF;1021;0.0;3496476.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3496476.95
2020;21950450300018;095;NEUVILLE-SUR-OISE;450;1;101;00;M14;219504503;011;40;;;;Commune;DEF;40471;0.0;6079.08;0.0;0.0;0.0;1721.27;0.0;0.0;0.0;7800.35
2020;21950450300018;095;NEUVILLE-SUR-OISE;450;1;101;00;M14;219504503;011;40;;;;Commune;DEF;60632;0.0;0.0;21305.02;0.0;0.0;0.0;0.0;0.0;21305.02;0.0
2020;21950450300018;095;NEUVILLE-SUR-OISE;450;1;101;00;M14;219504503;011;40;;;;Commune;DEF;6237;0.0;0.0;4767.01;0.0;0.0;0.0;0.0;0.0;4767.01;0.0
2020;21950450300018;095;NEUVILLE-SUR-OISE;450;1;101;00;M14;219504503;011;40;;;;Commune;DEF;6413;0.0;0.0;104793.55;0.0;0.0;0.0;0.0;0.0;104793.55;0.0
2020;21950450300018;095;NEUVILLE-SUR-OISE;450;1;101;00;M14;219504503;011;40;;;;Commune;DEF;70688;0.0;0.0;0.0;2627.71;0.0;0.0;0.0;0.0;0.0;2627.71
2020;21950452900013;095;NOINTEL;452;1;101;00;M14;219504529;011;40;;;;Commune;DEF;110;0.0;179859.02;0.0;0.0;100000.0;107516.1;0.0;0.0;0.0;187375.12
2020;21950452900013;095;NOINTEL;452;1;101;00;M14;219504529;011;40;;;;Commune;DEF;4111;231.18;0.0;0.0;0.0;63481.3;63443.84;0.0;0.0;268.64;0.0
2020;21950452900013;095;NOINTEL;452;1;101;00;M14;219504529;011;40;;;;Commune;DEF;6226;0.0;0.0;19254.0;0.0;0.0;0.0;0.0;0.0;19254.0;0.0
2020;21950452900013;095;NOINTEL;452;1;101;00;M14;219504529;011;40;;;;Commune;DEF;6336;0.0;0.0;2761.15;0.0;0.0;0.0;0.0;0.0;2761.15;0.0
2020;21950452900013;095;NOINTEL;452;1;101;00;M14;219504529;011;40;;;;Commune;DEF;7318;0.0;0.0;0.0;993.0;0.0;0.0;0.0;0.0;0.0;993.0
2020;21950456000018;095;NOISY-SUR-OISE;456;1;101;00;M14;219504560;011;40;;;;Commune;DEF;1383;0.0;13720.41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13720.41
2020;21950456000018;095;NOISY-SUR-OISE;456;1;101;00;M14;219504560;011;40;;;;Commune;DEF;4011;0.0;0.0;0.0;0.0;76256.04;80270.58;0.0;0.0;0.0;4014.54
2020;21950456000018;095;NOISY-SUR-OISE;456;1;101;00;M14;219504560;011;40;;;;Commune;DEF;46721;0.0;0.0;0.0;0.0;1098.02;1098.02;0.0;0.0;0.0;0.0
2020;21950456000018;095;NOISY-SUR-OISE;456;1;101;00;M14;219504560;011;40;;;;Commune;DEF;739221;0.0;0.0;68246.0;0.0;0.0;0.0;0.0;0.0;68246.0;0.0
2020;21950459400017;095;NUCOURT;459;1;101;00;M14;219504594;011;40;;;;Commune;DEF;2116;71358.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71358.4;0.0
2020;21950459400017;095;NUCOURT;459;1;101;00;M14;219504594;011;40;;;;Commune;DEF;2188;211720.59;0.0;54.9;0.0;0.0;0.0;0.0;0.0;211775.49;0.0
2020;21950459400017;095;NUCOURT;459;1;101;00;M14;219504594;011;40;;;;Commune;DEF;47138;0.0;237.6;0.0;0.0;416089.29;427991.09;0.0;0.0;0.0;12139.4
2020;21950459400017;095;NUCOURT;459;1;101;00;M14;219504594;011;40;;;;Commune;DEF;752;0.0;0.0;0.0;20513.65;0.0;0.0;0.0;0.0;0.0;20513.65
2020;21950459400041;095;EAUX-ASST - NUCOURT;931;3;410;00;M49A;219504594;011;01;;;;Commune;DEF;203;69401.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69401.26;0.0
2020;21950459400041;095;EAUX-ASST - NUCOURT;931;3;410;00;M49A;219504594;011;01;;;;Commune;DEF;466;0.0;20.0;0.0;0.0;1182.34;1450.54;0.0;0.0;0.0;288.2
2020;21950459400041;095;EAUX-ASST - NUCOURT;931;3;410;00;M49A;219504594;011;01;;;;Commune;DEF;621;0.0;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;5000.0;0.0
2020;21950462800013;095;OMERVILLE;462;1;101;00;M14A;219504628;011;40;;;;Commune;DEF;2131;1399969.76;0.0;15479.09;0.0;0.0;0.0;0.0;0.0;1415448.85;0.0
2020;21950462800013;095;OMERVILLE;462;1;101;00;M14A;219504628;011;40;;;;Commune;DEF;2132;168089.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;168089.69;0.0
2020;21950462800013;095;OMERVILLE;462;1;101;00;M14A;219504628;011;40;;;;Commune;DEF;4411;0.0;0.0;0.0;0.0;157.93;157.93;0.0;0.0;0.0;0.0
2020;21950462800013;095;OMERVILLE;462;1;101;00;M14A;219504628;011;40;;;;Commune;DEF;633;0.0;0.0;765.81;0.0;0.0;0.0;0.0;0.0;765.81;0.0
2020;21950462800013;095;OMERVILLE;462;1;101;00;M14A;219504628;011;40;;;;Commune;DEF;731;0.0;0.0;0.0;137008.0;0.0;0.0;0.0;0.0;0.0;137008.0
2020;21950462800013;095;OMERVILLE;462;1;101;00;M14A;219504628;011;40;;;;Commune;DEF;739221;0.0;0.0;16695.0;0.0;0.0;0.0;0.0;0.0;16695.0;0.0
2020;21950462800013;095;OMERVILLE;462;1;101;00;M14A;219504628;011;40;;;;Commune;DEF;744;0.0;0.0;0.0;733.27;0.0;0.0;0.0;0.0;0.0;733.27
2020;21950476800124;095;OSNY;476;1;101;00;M14;219504768;011;40;;;;Commune;DEF;2804172;0.0;173.0;0.0;173.0;0.0;0.0;0.0;173.0;0.0;346.0
2020;21950476800124;095;OSNY;476;1;101;00;M14;219504768;011;40;;;;Commune;DEF;40172;0.0;0.0;0.0;0.0;4445.42;4445.42;0.0;0.0;0.0;0.0
2020;21950476800124;095;OSNY;476;1;101;00;M14;219504768;011;40;;;;Commune;DEF;44381;0.0;0.0;0.0;0.0;342463.84;342755.54;0.0;0.0;0.0;291.7
2020;21950476800124;095;OSNY;476;1;101;00;M14;219504768;011;40;;;;Commune;DEF;447;0.0;0.0;0.0;0.0;63942.25;107522.25;0.0;0.0;0.0;43580.0
2020;21950476800124;095;OSNY;476;1;101;00;M14;219504768;011;40;;;;Commune;DEF;4686;0.0;0.0;0.0;0.0;0.0;750.0;0.0;0.0;0.0;750.0
2020;21950476800124;095;OSNY;476;1;101;00;M14;219504768;011;40;;;;Commune;DEF;60636;0.0;0.0;41744.57;0.0;0.0;0.0;0.0;0.0;41744.57;0.0
2020;21950480000018;095;PARMAIN;480;1;101;00;M14;219504800;011;40;;;;Commune;DEF;281568;0.0;21305.94;0.0;6037.07;0.0;0.0;0.0;6037.07;0.0;27343.01
2020;21950480000018;095;PARMAIN;480;1;101;00;M14;219504800;011;40;;;;Commune;DEF;281578;0.0;107389.54;0.0;2990.0;0.0;0.0;0.0;2990.0;0.0;110379.54
2020;21950480000018;095;PARMAIN;480;1;101;00;M14;219504800;011;40;;;;Commune;DEF;421;0.0;0.0;0.0;0.0;1503453.87;1503453.87;0.0;0.0;0.0;0.0
2020;21950480000018;095;PARMAIN;480;1;101;00;M14;219504800;011;40;;;;Commune;DEF;44331;0.0;0.0;0.0;0.0;1271.0;1271.0;0.0;0.0;0.0;0.0
2020;21950480000018;095;PARMAIN;480;1;101;00;M14;219504800;011;40;;;;Commune;DEF;611;0.0;0.0;54650.07;0.0;0.0;0.0;0.0;0.0;54650.07;0.0
2020;21950480000018;095;PARMAIN;480;1;101;00;M14;219504800;011;40;;;;Commune;DEF;6188;0.0;0.0;801.53;0.0;0.0;0.0;0.0;0.0;801.53;0.0
2020;21950480000018;095;PARMAIN;480;1;101;00;M14;219504800;011;40;;;;Commune;DEF;6288;0.0;0.0;36.0;0.0;0.0;0.0;0.0;0.0;36.0;0.0
2020;21950480000018;095;PARMAIN;480;1;101;00;M14;219504800;011;40;;;;Commune;DEF;7411;0.0;0.0;0.0;778569.0;0.0;0.0;0.0;0.0;0.0;778569.0
2020;21950483400017;095;PERCHAY (LE );483;1;101;00;M14;219504834;011;40;;;;Commune;DEF;447;0.0;0.0;0.0;0.0;1913.49;1971.82;0.0;0.0;0.0;58.33
2020;21950483400017;095;PERCHAY (LE );483;1;101;00;M14;219504834;011;40;;;;Commune;DEF;60633;0.0;0.0;384.0;0.0;0.0;0.0;0.0;0.0;384.0;0.0
2020;21950483400017;095;PERCHAY (LE );483;1;101;00;M14;219504834;011;40;;;;Commune;DEF;657362;0.0;0.0;3000.0;0.0;0.0;0.0;0.0;0.0;3000.0;0.0
2020;21950487500010;095;PERSAN;487;1;101;00;M14;219504875;011;40;;;;Commune;DEF;1641;0.0;14893004.89;1269335.57;3750000.0;0.0;0.0;0.0;0.0;0.0;17373669.32
2020;21950487500010;095;PERSAN;487;1;101;00;M14;219504875;011;40;;;;Commune;DEF;21311;2963448.66;0.0;34851.85;0.0;0.0;0.0;13484.39;0.0;2998300.51;0.0
