calc1,calc2,calc3,calc4,calc5,calc6,calc7,calc8,calc9,calc10,calc11,calc12,calc13,calc14,calc24,calc15,calc16,calc17,calc18,calc19,calc20,calc21,calc22,calc23,calc25,calc26,name
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regina regie de transport
0,0,56546.58,0,0,0,6992196.46,0,0,0,0,0,0,0,13037424.72,0,0,0,0,0,13037424.72,0,0,7048743.04,20086167.76,0,cayenne
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cayenne-cantines scolaires
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cayenne-petite enfance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7311129.140000001,0,0,0,0,0,7311129.140000001,0,0,0,7311129.140000001,0,iracoubo
0,0,460,0,0,0,0,0,0,0,0,0,0,0,351600,0,0,0,0,0,351600,0,0,460,352060,0,kourou
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kourou-eau potable
0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,7460.26,7460.26,0,0,0,0,0,0,0,3.18,7463.4400000000005,0,macouria
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,macouria regie de transport
2810922.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2503008,2503008,0,0,0,0,0,0,0,2810922.3,5313930.3,0,mana
2667058.72,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667078.72,2667078.72,0,matoury
333004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333004,333004,0,saint-georges
0,0,12291.6,0,0,24175.88,0,0,0,0,0,0,0,0,35054542.92,23260,0,0,0,35031282.92,0,0,0,36467.48,35091010.4,0,remire montjoly
0,0,0,0,0,0,0,0,0,0,0,0,0,0,82860,82860,0,0,0,0,0,0,0,0,82860,0,remire montjoly-dsu
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,remire m regie transport scolaire
91380,0,0,0,0,0,0,0,0,0,0,0,0,0,1234834,1234834,0,0,0,0,0,0,0,91380,1326214,0,roura
657163.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657163.38,657163.38,0,saint laurent du maroni
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,st laurent eau assainissement
0,0,0,0,0,0,0,0,0,0,0,0,0,0,34319077.32,0,0,0,0,34301743.86,17333.46,0,0,0,34319077.32,0,sinnamary
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2735035.46,0,0,0,0,2735035.46,0,0,0,0,2735035.46,0,sinnamary-eau potable
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sinnamary-assainissement
0,0,0,0,0,0,0,0,0,0,0,0,0,0,34244,34244,0,0,0,0,0,0,0,0,34244,0,ouanary
0,0,0,0,0,0,0,0,0,0,0,0,0,0,389783.30000000005,367559.84,0,0,0,0,22223.46,0,0,0,389783.30000000005,0,saul
0,0,0,1002.46,0,0,485,0,0,0,0,0,0,0,36430623.3,0,0,0,0,0,36430623.3,0,0,1487.46,36432110.76,0,maripasoula
0,0,0,0,0,0,0,0,0,0,0,0,0,0,29276.8,0,0,0,0,0,29276.8,0,0,0,29276.8,0,maripasoula eau potable
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500330.7,6300,0,0,0,0,1494030.7,0,0,0,1500330.7,0,camopi
6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,6.2,0,grand santi
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,saint-elie
0,0,0,0,0,110390.46000000002,0,0,0,0,0,0,0,0,67727,67727,0,0,0,0,0,0,0,110390.46000000002,178117.46000000002,0,apatou
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apatou-eau et assainissement
376567.58,0,0,0,0,0,0,0,0,0,0,0,0,0,3480748.18,0,0,0,0,0,3480748.18,0,0,376567.58,3857315.7600000002,0,awala yalimapo
0,0,0,0,0,0,0,0,0,0,0,0,0,0,79806.78,0,0,0,0,0,79806.78,0,0,0,79806.78,0,papaichton
0,0,0,5401.26,0,0,0,0,0,0,0,0,0,0,54299.54,54299.54,0,0,0,0,0,0,0,5401.26,59700.8,0,ajoupa-bouillon
4425931.92,0,0,0,0,0,0,0,0,0,0,0,0,0,9630178.9,0,0,0,0,0,9630178.9,0,0,4425931.92,14056110.82,0,anses-d'arlet (les)
